district,link,name,party,phonenumber,twitter
"Warringah, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=EZ5,Hon Tony Abbott MP,Liberal Party of Australia,(02) 9977 6411,http://twitter.com/TonyAbbottMHR
"Bennelong, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M3M,"Mr John Alexander OAM, MP",Liberal Party of Australia,(02) 9869 4288,http://twitter.com/JohnAlexanderMP
"Grayndler, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=R36,Hon Anthony Albanese MP,Australian Labor Party,(02) 9564 3588,http://twitter.com/AlboMP
"Mallee, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=30379,Mr Andrew Broad MP,The Nationals,,https://twitter.com/broad4mallee
"McMahon, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DZS,Hon Chris Bowen MP,Australian Labor Party,(02) 9604 0710,http://twitter.com/Bowenchris
"Canberra, Australian Capital Territory",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=30540,Ms Gai Brodtmann MP,Australian Labor Party,(02) 6293 1344,
"McMillan, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=MT4,Mr Russell Broadbent MP,Liberal Party of Australia,(03) 5623 2064,
"Bendigo, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=249710,Ms Lisa Chesters MP,Australian Labor Party,(03) 5443 9055,https://twitter.com/LMChesters
"Cunningham, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DZP,Hon Sharon Bird MP,Australian Labor Party,(02) 4228 5899,http://twitter.com/SharonBirdMP
"Wakefield, South Australia",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HW9,Mr Nick Champion MP,Australian Labor Party,(08) 8284 2422,http://twitter.com/NickChampionMP
"Rankin, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=37998,Dr Jim Chalmers MP,Australian Labor Party,(07) 3299 5910,https://twitter.com/JEChalmers
"Holt, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=008K0,Hon Anthony Byrne MP,Australian Labor Party,(03) 9796 7533,http://twitter.com/AnthonyByrne_MP
"Griffith, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=248006,Ms Terri Butler MP,Australian Labor Party,(07) 3899 4031,https://twitter.com/terrimbutler
"Port Adelaide, South Australia",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HWK,Hon Mark Butler MP,Australian Labor Party,(08) 8241 0190,http://twitter.com/Mark_Butler_MP
"Barton, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=8GH,Hon Linda Burney MP,Australian Labor Party,(02) 9587 1555,http://twitter.com/lindaburneymp
"Watson, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DYW,Hon Tony Burke MP,Australian Labor Party,(02) 9750 9088,http://twitter.com/tony_burke
"Isaacs, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HWG,"Hon Mark Dreyfus QC, MP",Australian Labor Party,(03) 9580 4651,
