"SA1_MAINCODE_2016","CED_CODE_2017","CED_NAME_2017","STATE_CODE_2017","STATE_NAME_2017","AREA_ALBERS_SQKM"
"11901135801","101","Banks","1","New South Wales",0.1146
"11901135802","101","Banks","1","New South Wales",0.0722
"11901135803","101","Banks","1","New South Wales",0.1597
"11901135804","101","Banks","1","New South Wales",0.173
"11901135805","101","Banks","1","New South Wales",0.108
"11901135806","101","Banks","1","New South Wales",0.5865
"11901135807","101","Banks","1","New South Wales",0.0845
"11901135808","101","Banks","1","New South Wales",0.1662
"11901135809","101","Banks","1","New South Wales",0.1406
"11901135810","101","Banks","1","New South Wales",0.1577
"11901135811","101","Banks","1","New South Wales",0.1085
"11901135812","101","Banks","1","New South Wales",0.0858
"11901135813","101","Banks","1","New South Wales",0.0806
"11901135814","101","Banks","1","New South Wales",0.1416
"11901135815","101","Banks","1","New South Wales",0.132
"11901135816","101","Banks","1","New South Wales",0.196
"11901135817","101","Banks","1","New South Wales",0.2828
"11901135818","101","Banks","1","New South Wales",0.0903
"11901135819","101","Banks","1","New South Wales",0.1028
"11901135820","101","Banks","1","New South Wales",0.1817
"11901135821","101","Banks","1","New South Wales",0.1371
"11901135822","101","Banks","1","New South Wales",0.088
"11901135823","101","Banks","1","New South Wales",0.2011
"11901135824","101","Banks","1","New South Wales",0.0749
"11901135825","101","Banks","1","New South Wales",0.0386
"11901135826","101","Banks","1","New South Wales",0.3294
"11901135827","101","Banks","1","New South Wales",0.1836
"11901135828","101","Banks","1","New South Wales",0.1293
"11901135829","101","Banks","1","New South Wales",0.1285
"11901135830","101","Banks","1","New South Wales",0.1146
"11901135831","101","Banks","1","New South Wales",0.1924
"11901135832","101","Banks","1","New South Wales",0.1227
"11901135833","101","Banks","1","New South Wales",0.1083
"11901135834","101","Banks","1","New South Wales",0.0989
"11901135835","101","Banks","1","New South Wales",0.4347
"11901135836","101","Banks","1","New South Wales",0.1469
"11901135837","101","Banks","1","New South Wales",0.1422
"11901135838","101","Banks","1","New South Wales",0.1362
"11901135839","101","Banks","1","New South Wales",0.1331
"11901135840","101","Banks","1","New South Wales",0.1247
"11901135841","101","Banks","1","New South Wales",0.1246
"11901135842","101","Banks","1","New South Wales",0.1542
"11901135901","101","Banks","1","New South Wales",0.1415
"11901135902","101","Banks","1","New South Wales",0.0893
"11901135903","101","Banks","1","New South Wales",0.133
"11901135904","101","Banks","1","New South Wales",0.1751
"11901135907","101","Banks","1","New South Wales",0.1609
"11901135908","101","Banks","1","New South Wales",0.1993
"11901135909","101","Banks","1","New South Wales",0.1474
"11901135910","101","Banks","1","New South Wales",1.1493
"11901135911","101","Banks","1","New South Wales",0.1504
"11901135912","101","Banks","1","New South Wales",0.0932
"11901135914","101","Banks","1","New South Wales",0.0739
"11901135915","101","Banks","1","New South Wales",0.1458
"11901135916","101","Banks","1","New South Wales",0.108
"11901135917","101","Banks","1","New South Wales",0.1035
"11901135918","101","Banks","1","New South Wales",0.1025
"11901135919","101","Banks","1","New South Wales",0.1282
"11901135920","101","Banks","1","New South Wales",0.1071
"11901135921","101","Banks","1","New South Wales",0.0791
"11901135922","101","Banks","1","New South Wales",1.8286
"11901135923","101","Banks","1","New South Wales",0.3556
"11901135924","101","Banks","1","New South Wales",0.1736
"11901135925","101","Banks","1","New South Wales",0.1495
"11901135926","101","Banks","1","New South Wales",0.1649
"11901135927","101","Banks","1","New South Wales",0.0861
"11901135928","101","Banks","1","New South Wales",0.2421
"11901135929","101","Banks","1","New South Wales",0.1054
"11901135930","101","Banks","1","New South Wales",0.1276
"11901135931","101","Banks","1","New South Wales",0.1149
"11901135932","101","Banks","1","New South Wales",0.1479
"11901135933","101","Banks","1","New South Wales",0.1323
"11901135934","101","Banks","1","New South Wales",0.1686
"11901135935","101","Banks","1","New South Wales",0.1519
"11901135936","101","Banks","1","New South Wales",0.2725
"11901135937","101","Banks","1","New South Wales",0.134
"11901135942","101","Banks","1","New South Wales",0.3655
"11901135947","101","Banks","1","New South Wales",0.1466
"11901135948","101","Banks","1","New South Wales",0.0987
"11901135949","101","Banks","1","New South Wales",0.2012
"11901135950","101","Banks","1","New South Wales",0.1128
"11901135951","101","Banks","1","New South Wales",0.0695
"11901135952","101","Banks","1","New South Wales",0.8388
"11901135953","101","Banks","1","New South Wales",0.1405
"11901135954","101","Banks","1","New South Wales",0.1586
"11901135955","101","Banks","1","New South Wales",0.1162
"11901135956","101","Banks","1","New South Wales",0.1251
"11901135957","101","Banks","1","New South Wales",0.1326
"11901135958","101","Banks","1","New South Wales",0.1319
"11901135959","101","Banks","1","New South Wales",0.1692
"11901135960","101","Banks","1","New South Wales",0.2338
"11901135961","101","Banks","1","New South Wales",0.0999
"11901136001","101","Banks","1","New South Wales",0.1627
"11901136002","101","Banks","1","New South Wales",0.2294
"11901136003","101","Banks","1","New South Wales",0.1248
"11901136004","101","Banks","1","New South Wales",0.1244
"11901136005","101","Banks","1","New South Wales",0.1095
